u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-4.4506,-4.3979,-3.6298,-3.0005,-2.9831,-2.9783,1.4505,1.4517,1.5365,1.5395,1.5793,1.5816,D00984_A01AC01
-4.4577,-4.423,-3.6298,-2.993,-2.9882,-2.9756,1.4337,1.5363,1.5417,1.5927,1.6195,1.6233,D00984_C05AA12
-4.4116,-4.3741,-3.6292,-3.0156,-2.9956,-2.9752,1.4217,1.4384,1.509,1.5335,1.5385,1.5729,D00984_D07AB09
-4.4779,-4.4043,-3.6292,-2.9885,-2.9842,-2.9827,1.3934,1.4316,1.5325,1.5439,1.5672,1.5755,D00984_D07XB02
-4.4555,-4.4302,-3.6275,-3.0001,-2.975,-2.9578,1.4013,1.4289,1.5273,1.5431,1.5459,1.5775,D00984_H02AB08
-4.4212,-4.3624,-3.6288,-3.0463,-2.9956,-2.9815,1.405,1.4401,1.5409,1.5447,1.5688,1.5725,D00984_R01AD11
-4.4216,-4.4078,-3.6327,-3.02,-2.9796,-2.9735,1.4671,1.5411,1.5487,1.6793,1.7976,2.0379,D00984_R03BA06
-4.4752,-4.4452,-3.6368,-2.9878,-2.9854,-2.9797,1.4356,1.5394,1.5419,1.5687,1.603,1.6428,D00984_S01BA05
-4.405,-3.6497,-3.1794,-3.1418,-3.0034,-2.9736,1.3389,1.3696,1.41,1.4297,1.5424,1.9192,D00985_A01AC01
-4.4617,-3.6276,-3.1707,-3.1428,-2.9953,-2.979,1.3596,1.4254,1.4342,1.5108,1.5486,1.9293,D00985_C05AA12
-4.4478,-3.6304,-3.1036,-3.0671,-2.9785,-2.976,1.4332,1.4676,1.483,1.529,1.5399,1.9014,D00985_D07AB09
-4.4565,-3.6287,-3.1693,-3.1376,-2.993,-2.9831,1.3665,1.4091,1.4418,1.538,1.5478,1.9335,D00985_D07XB02
-4.4227,-3.6304,-3.1544,-3.1313,-2.9896,-2.9784,1.3674,1.3683,1.4251,1.4457,1.5382,1.9421,D00985_H02AB08
-4.3996,-3.6277,-3.1676,-3.1441,-3.0015,-2.9757,1.323,1.3731,1.4292,1.4381,1.5411,1.9304,D00985_R01AD11
-4.494,-3.6327,-3.0968,-3.0504,-2.9793,-2.979,1.3736,1.4113,1.4251,1.4457,1.5495,1.8994,D00985_R03BA06
-4.3957,-3.6307,-3.1054,-3.0829,-2.9843,-2.9798,1.4013,1.409,1.4346,1.4865,1.5263,1.9044,D00985_S01BA05
-10.5399,-10.5385,-10.2569,-7.5022,-3.6174,-3.1713,2.9034,3.0109,3.0219,3.461,5.0575,5.075,D06216_A01AC01
-10.5475,-10.5287,-10.2414,-7.5227,-3.6,-3.171,2.8857,3.0204,3.0432,3.4495,5.0416,5.0716,D06216_C05AA12
-10.583,-10.5213,-10.249,-7.512,-3.9299,-3.594,2.9925,3.0059,3.0376,3.4984,5.03,5.1153,D06216_D07AB09
-10.5665,-10.5295,-10.246,-7.5112,-3.7787,-3.6555,3.0031,3.0544,3.066,3.4816,5.058,5.1304,D06216_D07XB02
-10.534,-10.5156,-10.2585,-7.5278,-3.6093,-3.1693,2.868,2.9952,3.0272,3.4828,5.0826,5.0902,D06216_H02AB08
-10.5497,-10.5252,-10.2587,-7.5282,-3.6099,-3.1748,2.8836,2.9748,3.0331,3.4964,5.0821,5.1127,D06216_R01AD11
-10.532,-10.5198,-10.2471,-7.5059,-4.2069,-3.6246,3.0011,3.0491,3.1288,3.4538,5.1048,5.131,D06216_R03BA06
